City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,port mathurin,-19.6833,63.4167,295.49,66,32,10.53,MU,1691462608
239,grand falls-windsor,48.9332,-55.6649,286.21,88,35,3.45,CA,1691462608
240,gadzhiyevo,69.2551,33.3362,287.2,72,41,5.42,RU,1691462608
241,solnechnyy,50.7214,136.6319,299.7,29,97,2.58,RU,1691462608
242,solwezi,-12.1688,26.3894,284.96,73,0,1.82,ZM,1691462608
243,arica,-18.475,-70.3042,292.28,77,100,2.57,CL,1691462608
244,preston,53.7667,-2.7167,288.33,93,74,2.6,GB,1691462608
245,indergarh,26.9352,79.6724,302.87,65,97,7.76,IN,1691462609
246,kattivakkam,13.2167,80.3167,303.2,82,100,4.35,IN,1691462609
247,alaior,39.9303,4.1404,291.01,88,0,2.06,ES,1691462609
248,bulgan,48.8125,103.5347,293.12,72,100,2.33,MN,1691462609
249,ixtapa,20.7,-105.2,302.72,89,100,3.09,MX,1691462609
250,tralee,52.2704,-9.7026,286.54,97,97,1.03,IE,1691462609
251,codrington,-38.2667,141.9667,286.87,62,0,3.33,AU,1691462610
252,hithadhoo,-0.6,73.0833,300.75,71,50,0.14,MV,1691462610
253,nelson bay,-32.7167,152.15,291.48,76,44,2.24,AU,1691462610
254,san pedro,14.35,121.0167,304.99,75,40,8.75,PH,1691462610
255,salinas,36.6777,-121.6555,292.02,86,100,4.63,US,1691462561
256,santa cruz,-17.8,-63.1667,299.85,50,75,5.14,BO,1691462518
257,pangai,-19.8,-174.35,297.21,94,100,6.17,TO,1691462610
258,antofagasta,-23.65,-70.4,290.75,84,100,2.32,CL,1691462317
259,thunder bay,48.4001,-89.3168,293.14,60,20,2.06,CA,1691462611
260,deqen,29.9618,90.7188,287.97,73,100,0.76,CN,1691462611
261,strezhevoy,60.7333,77.5889,291.54,63,11,2.73,RU,1691462611
262,dambatta,12.433,8.5154,296.21,86,88,3.86,NG,1691462611
